achten, auf, Achte bei der Prtifung genau auf die Aufgabenstellung.
ankommen, auf, Bei einer Bewerbung kommt es nicht nur auf gute Noten an.
anpassen, an, Man muss sich nicht an jeden Trend anpassen.
antworten, auf, Hat die Firma schon auf deine Bewerbung geantwortet?
sich ärgern, über, Ich habe mich heute so über meine Kollegin geärgert.
aufpassen, auf, Könntest du heute Abend auf meine Kinder aufpassen?
ausgeben, für, Wie viel hast du für das Geschenk ausgegeben?
sich bedanken, für, Wir wollten uns für das schöne Geschenk bedanken.
sich beklagen, über, Der Gast hat sich standig über das Essen beklagt.
berichten, über, Im Fernsehen wurde über das Ereignis kaum berichtet.
sich beschweren, über, Herr Müller hat sich gestern über den Lärm beschwert.
sich bewerben, als, Er hat sich als Event-Manager beworben.
sich bewerben, auf/um Er hat sich auf/um die Stelle als Event-Manager beworben.
bezeichnen, als, Er bezeichnet sich selbst als Experten.
sich beziehen, auf, Die Mahnung bezieht sich auf die Rechnung vom Januar.
bitten, um, Könnte ich dich um einen Gefallen bitten?
danken, für, Ich möchte dir für deine Unterstützung danken.
denken, an, Denk doch nicht immer nur an dich!
diskutieren, über, Ich will nicht schon wieder über dieses Thema diskutieren.
eingehen, auf, Dirk geht einfach nie auf die Meinung anderer ein.
sich einsetzen, für, Wir setzen uns für eine bessere Ausbildung ein.
sich einsetzen, gegen, Meine ganze Familie setzt sich gegen Atomenergie ein.
einziehen, in, Wir sind erst vor Kurzem in die neue Wohnung eingezogen.
sich engagieren, für, Viele Leute engagieren sich flr einen guten Zweck.
sich engagieren, gegen, Wir engagieren uns gegen Gewalt im Alltag.
sich entscheiden für/gegen Wir haben uns für/gegen dieses Sofa entschieden.
sich entschuldigen, für, Kristina hat sich heute für ihren Fehler entschuldigt.
(sich) erinnern, an, Erinnerst du dich an unser Gespräch neulich?
erzahlen, über, Was hat er denn über seinen Chef erzählt?
sich freuen, auf, Ich freue mich auf unseren, aus,flug am Wochenende.
sich freuen, über, Meine Eltern haben sich sehr über meinen Besuch gefreut.
sich gewöhnen, an, Ich kann mich einfach nicht an dieses Essen gewöhnen.
glauben, an, Seine Eltern glauben an ihn, das macht ihm Mut.
halten, für, Ich halte Sie für eine sehr kompetente Fachkraft.
sich halten, an, Halte dich doch bitte an unsere Abmachung!
sich handeln, um, Hier handelt es sich um eine seltene Pflanze.
hinweisen, auf, Ich möchte Sie noch auf unsere Sonderangebote hinweisen.
hoffen, auf, Wir haben lange auf besseres Wetter gehofft.
(sich) informieren, über, Vor seiner Bewerbung hat er sich über die Firma informiert.
sich interessieren, für, Maren interessiert sich sehr für Tiere und Naturschutz.
investieren, in, Das Unternehmen hat viel Geld in dieses Projekt investiert.
kämpfen, für, Sie kämpfen für eine saübere Umwelt.
kämpfen, gegen, Sie kämpfen gegen  Umweltverschmutzung.
sich konzentrieren, auf, Seid leiser! Ich muss mich auf die Aufgabe konzentrieren.
sich kümmern, um, Wer kümmert sich um den Hund, wenn wir weg sind?
lachen, über, Über diesen Witz kann ich echt iberhaupt nicht lachen.
nachdenken, über, Ich denke über dein angebot nach und gebe dir Bescheid.
reagieren, auf, Wie hat dein Chef eigentlich auf deinen Vorschlag reagiert?
reden, über, Wir haben lange tiber das Problem geredet.
schimpfen, über, Er schimpft den ganzen Abend über seine Kollegen.
sorgen, für, Olaf will für seine kranken Eltern sorgen.
sich sorgen, um, Katja sorgt sich oft zu sehr um ihre berufliche Zukunft.
sich spezialisieren, auf, Er hat sich während des Studiums auf Chirurgie spezialisiert.
sprechen, über, Habt ihr auch über die Arbeitsbedingungen gesprochen?
(sich) streiten, über, Streitet ihr schon wieder über die gleiche Frage?
(sich) streiten, um, In Beziehungen wird oft um Geld gestritten.
sich unterhalten, über, Wir haben uns den ganzen Abend über Politik unterhalten.
sich verlassen, auf, Auf meinen besten Freund kann ich mich immer verlassen.
sich verlieben, in, Nina hat sich schon während der Schulzeit in Paul verliebt.
verzichten, auf, Ich kann am Morgen einfach nicht auf Kaffee verzichten.
sich vorbereiten, auf, Hast du dich gut auf das Vorstellungsgespräch vorbereitet?
warten, auf, Auf wen wartest du denn?
sich wenden, an, Wenden Sie sich bitte an Herrn Kohl.
werben, für, Die Firma wirbt für ihre Produkte.
wetten, um, Wir haben  um ein Abendessen gewettet.
sich wundern, über, Ich habe mich sehr über diese Frage gewundert.
