abhalten, von, Ich konnte ihn nicht von seinem Vorhaben abhalten.
abhängen, von, Der Klimawandel hängt auch von unserem Verhalten ab.
abmelden, von, Hast du dich wirklich vom Sportstudio abgemeldet?
abraten, von, Ich kann euch von diesem Restaurant nur abraten.
ändern, an, Bert sagt, dass er an der Situation nichts ändern kann.
anfangen, mit, Er hat mit dem Tanzkurs angefangen.
anrufen, bei, Hast du bei unserem Vermieter angerufen?
arbeiten, an, Sie arbeiten an einem großen Projekt.
arbeiten, bei, Er arbeitet bei BMW.
arbeiten, in, Sie arbeitet in einer großen Firma.
aufhören, mit, Kinder, konnt ihr bitte mit dem Lärm aufhören?
ausgehen, von, Ich gehe davon  aus, dass wir uns morgen wiedersehen.
sich auskennen, mit, Er kennt sich gut mit moderner Technik aus.
sich austauschen, mit, Im Forum kann sich Tom mit anderen Betroffenen  austauschen.
sich bedanken, bei, Ich muss mich unbedingt bei dir bedanken.
sich befassen, mit, Der Film befasst sich mit traditioneller Musik.
sich befinden, in, Wir befinden uns hier im Zentrum von Hamburg.
beginnen, mit, Wann beginnst du mit dem Deutschkurs?
beitragen, zu, Möchtest du auch etwas zu dieser Diskussion beitragen?
sich beklagen, bei, Unsere Nachbarin hat sich wieder beim Vermieter beklagt.
berichten, von, Matthias berichtet immer sehr ausführlich von seinen Reisen.
sich beschweren, bei, Herr Müller hat sich bei der Hausverwaltung beschwert.
bestehen, aus, Diese Schokolade besteht hauptsächlich aus Kakao.
bestellen, bei, Habt ihr die Lieferung bei Herrn Kromer bestellt?
sich beteiligen, an, Habt ihr euch auch an der Demo gestern beteiligt?
sich bewerben, bei, Susanne hat sich bei einer Software-Firma beworben.
bringen, zu, Er bringt mich immer zum Lachen.
diskutieren, mit, Wir haben lange mit unserem Vermieter diskutiert.
einladen, zu, Ich wurde dich gern, zu, meiner Party einladen.
(sich) entfernen, von, Der Taucher hat sich weit von der Küste entfernt.
sich entschließen, zu, Kristina hat sich zu einem Fernstudium entschlossen.
sich entschuldigen, bei, Kristina hat sich heute bei mir entschuldigt.
erhalten, von, Haben Sie die Nachricht von Frau Krause erhalten?
sich erholen, von, Sie hat sich gut von der Krankheit erholt.
erkennen, an, Ich erkenne ihn an seiner Stimme.
sich erkundigen, bei/nach Ich habe mich bei der VHS nach Kursen erkundigt.
erwarten, von, Was erwartest du von diesem Kurs?
erzahlen, von, Erzahl doch mal was von deiner Familie!
erziehen, zu, Sie haben ihre Kinder früh zur Selbststandigkeit erzogen.
experimentieren, mit, Habt ihr mit Wasser experimentiert?
fragen, nach, Wo warst du? Max hat schon dreimal nach dir gefragt.
führen, zu, Der Klimawandel führt zu immer mehr Unwettern.
gehören, zu, Zu welcher Projektgruppe gehörst du?
gratulieren, zu, Ich möchte dir zu deinem guten Prüfungsergebnis gratulieren.
greifen, nach, Er greift nach dem Treppengeländer.
handeln, mit, Die Firma handelt mit Schmuck.
handeln, von, Das Buch handelt von drei Freunden.
halten, von, Was hältst du von dem neuen Büro?
helfen, bei, Könntest du mir bitte beim Aufräumen helfen?
hören, von, Hast du mal was von Tina und Moritz gehört?
klarkommen, mit, Sie kommt sehr gut mit ihren Kolleginnen klar.
klingen, nach, Das klingt nach einem tollen Film.
leiden, an, Er leidet an Asthma.
leiden, unter, Er leidet unter Schlaflosigkeit.
liegen, an, Es liegt an seinem Ehrgeiz, dass er so weit gekommen ist.
sich melden, bei, Meldest du dich morgen bei mir?
motivieren, zu, Kann ich dich heute zum Joggen motivieren?
nachfragen, bei, Dein Paket ist nicht da? Hast du schon bei der Poststelle nachgefragt?
naschen, von, Wer hat von dem Kuchen genascht?
sich orientieren, an, Er hat sich an seinen Vorbildern orientiert.
passen, zu, Der Pulli passt gut zu der Hose.
raten, zu, Ich rate dir zu einem Arztbesuch.
(sich) retten, vor, Alle haben sich vor dem Feuer gerettet.
sich richten, nach, Ich richte mich da ganz nach dir.
schimpfen, mit, Er schimpft den ganzen Tag mit seinem Hund.
schmecken, nach, Die Schokolade schmeckt nach Nougat.
speichern, auf, Du solltest die Datei auf einer externen Festplatte speichern.
sprechen, mit, Kann ich mal kurz mit dir sprechen?
sprechen, von, Adrian hat den ganzen Abend nur von dir gesprochen.
sterben, an, Mein Opa ist letztes Jahr an Krebs gestorben.
(sich) streiten, mit, Ich habe mich gestern mit meinem Freund gestritten.
teilnehmen, an, Nimmst du auch am nächsten Kurs teil?
telefonieren, mit, Ich habe gerade mit der Personalabteilung telefoniert.
träumen, von, Ich träume vom nächsten Urlaub.
sich treffen, mit, Nach dem Kurs treffe ich mich noch mit Rosalie.
(sich) trennen, von, Sie hat sich von ihrem alten Auto getrennt.
